service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2026-05-012026-05-01001901,1,1,1,1,1,1,1,20260501,20260501                                                                                                                                                                                                                                                                                                    
2026-05-022026-05-04001901,1,1,1,1,1,1,1,20260502,20260504                                                                                                                                                                                                                                                                                                    
2026-05-052026-08-04001901,1,1,1,1,1,1,1,20260505,20260804                                                                                                                                                                                                                                                                                                    
2026-08-052026-10-11001901,1,1,1,1,1,1,1,20260805,20261011                                                                                                                                                                                                                                                                                                    
2026-10-132026-10-14001901,1,1,1,1,1,1,1,20261013,20261014                                                                                                                                                                                                                                                                                                    
2026-05-012026-05-01001902,1,1,1,1,1,1,1,20260501,20260501                                                                                                                                                                                                                                                                                                    
2026-05-022026-05-04001902,1,1,1,1,1,1,1,20260502,20260504                                                                                                                                                                                                                                                                                                    
2026-05-052026-08-04001902,1,1,1,1,1,1,1,20260505,20260804                                                                                                                                                                                                                                                                                                    
2026-08-052026-10-11001902,1,1,1,1,1,1,1,20260805,20261011                                                                                                                                                                                                                                                                                                    
2026-10-132026-10-14001902,1,1,1,1,1,1,1,20261013,20261014                                                                                                                                                                                                                                                                                                    
2026-05-022026-05-04001903,1,1,1,1,1,1,1,20260502,20260504                                                                                                                                                                                                                                                                                                    
2026-05-052026-08-04001903,1,1,1,1,1,1,1,20260505,20260804                                                                                                                                                                                                                                                                                                    
2026-08-052026-10-10001903,1,1,1,1,1,1,1,20260805,20261010                                                                                                                                                                                                                                                                                                    
2026-10-112026-10-11001903,1,1,1,1,1,1,1,20261011,20261011                                                                                                                                                                                                                                                                                                    
2026-05-022026-05-04001904,1,1,1,1,1,1,1,20260502,20260504                                                                                                                                                                                                                                                                                                    
2026-05-052026-08-04001904,1,1,1,1,1,1,1,20260505,20260804                                                                                                                                                                                                                                                                                                    
2026-08-052026-10-10001904,1,1,1,1,1,1,1,20260805,20261010                                                                                                                                                                                                                                                                                                    
2026-10-112026-10-11001904,1,1,1,1,1,1,1,20261011,20261011                                                                                                                                                                                                                                                                                                    
2026-05-012026-05-04001921,1,1,1,1,1,1,1,20260501,20260504                                                                                                                                                                                                                                                                                                    
2026-05-052026-08-04001921,1,1,1,1,1,1,1,20260505,20260804                                                                                                                                                                                                                                                                                                    
2026-08-052026-10-14001921,1,1,1,1,1,1,1,20260805,20261014                                                                                                                                                                                                                                                                                                    
2026-05-012026-05-04001922,1,1,1,1,1,1,1,20260501,20260504                                                                                                                                                                                                                                                                                                    
2026-05-052026-08-04001922,1,1,1,1,1,1,1,20260505,20260804                                                                                                                                                                                                                                                                                                    
2026-08-052026-10-14001922,1,1,1,1,1,1,1,20260805,20261014                                                                                                                                                                                                                                                                                                    
2026-05-022026-05-04001941,1,1,1,1,1,1,1,20260502,20260504                                                                                                                                                                                                                                                                                                    
2026-05-052026-05-05001941,1,1,1,1,1,1,1,20260505,20260505                                                                                                                                                                                                                                                                                                    
2026-05-062026-05-06001941,1,1,1,1,1,1,1,20260506,20260506                                                                                                                                                                                                                                                                                                    
2026-05-072026-05-07001941,1,1,1,1,1,1,1,20260507,20260507                                                                                                                                                                                                                                                                                                    
2026-05-082026-05-08001941,1,1,1,1,1,1,1,20260508,20260508                                                                                                                                                                                                                                                                                                    
2026-05-102026-05-10001941,1,1,1,1,1,1,1,20260510,20260510                                                                                                                                                                                                                                                                                                    
2026-05-112026-05-11001941,1,1,1,1,1,1,1,20260511,20260511                                                                                                                                                                                                                                                                                                    
2026-05-122026-05-12001941,1,1,1,1,1,1,1,20260512,20260512                                                                                                                                                                                                                                                                                                    
2026-05-132026-05-13001941,1,1,1,1,1,1,1,20260513,20260513                                                                                                                                                                                                                                                                                                    
2026-05-142026-05-14001941,1,1,1,1,1,1,1,20260514,20260514                                                                                                                                                                                                                                                                                                    
2026-05-152026-05-15001941,1,1,1,1,1,1,1,20260515,20260515                                                                                                                                                                                                                                                                                                    
